"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2020,40199923,1,40525356
2020,40195096,1,40525589
2020,40195146,1,40521338
2020,40195264,1,40521447
2020,40200716,1,40526151
2020,40200820,1,40526272
2020,40195773,1,40521941
2020,40201099,1,40526562
2020,40196176,1,40522350
2020,38499941,1,38575710
2020,38495315,1,38575764
2020,38500006,1,38575782
2020,38495502,1,38575954
2020,38500217,1,38580610
2020,38500213,1,38576031
2020,38500252,1,38576075
2020,38500482,1,38580882
2020,38500500,1,38576421
2020,38496014,1,38580925
2020,38496015,1,38576480
2020,38496044,1,38576502
2020,38496201,1,38576652
2020,38496223,1,38576670
2020,38496225,1,38576673
2020,38500753,1,38581166
2020,38496349,1,38581169
2020,38496507,1,38576965
2020,38501342,1,38577526
2020,38501533,7,38581917
2020,38497393,7,38577858
2020,38497438,7,38577899
2020,38497495,1,38577955
2020,38497502,1,38582087
2020,38497604,1,38578064
2020,38501784,1,38582182
2020,38501986,7,38582385
2020,38502023,1,38578388
2020,38498034,1,38578496
2020,38502109,1,38578551
2020,38502108,1,38578544
2020,38498344,1,38578799
2020,38502356,1,38582764
2020,38498505,1,38582820
2020,40196215,1,40522388
2020,40196363,1,40522532
2020,40201532,1,40526990
2020,38502536,1,38579130
2020,38498831,1,38583100
2020,38498841,1,38579296
2020,38498928,1,38579388
2020,38499049,3,38583241
2020,38499048,3,38579502
2020,38502853,1,38583258
2020,38502855,1,38583260
2020,38502863,1,38579540
2020,38499078,1,38583265
2020,38502880,1,38579557
2020,38499097,1,38579561
2020,38499095,1,38579560
2020,38499111,1,38579576
2020,38499112,1,38579577
2020,38502906,1,38583306
2020,38502918,1,38583314
2020,38499139,1,38579608
2020,38502940,1,38579632
2020,40196656,1,40527429
2020,40202075,1,40527551
2020,40196790,1,40527567
2020,40196857,1,40523007
2020,40202168,1,40527646
2020,40196937,1,40527736
2020,40202327,1,40527820
2020,40197035,1,40523164
2020,40197045,1,40523172
2020,40202397,1,40527900
2020,40197076,1,40527913
2020,40202742,1,40523556
2020,40197441,1,40523586
2020,40197472,1,40528285
2020,40197525,1,40523661
2020,40197526,1,40528346
2020,40197560,1,40528384
2020,40197562,1,40523708
2020,40202939,1,40528423
2020,40203107,1,40523919
2020,40197835,1,40524003
2020,40203210,1,40528671
2020,40197909,1,40524086
2020,40198104,1,40524281
2020,40198118,1,40524296
2020,40198121,1,40524300
2020,40198326,1,40524498
2020,40198398,1,40524577
2020,40198404,1,40524584
2020,40203810,3,40529259
2020,40203815,3,40524633
2020,40198449,3,40529265
2020,40203896,1,40529345
2020,40198524,1,40529375
2020,40198552,1,40524743
