"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2020,5,130503611,4.5,1,15176172
2020,5,130503944,1,1,15176227
2020,12,130503944,2,1,15176226
2020,5,130510100,0.001,1,15176353
2020,4,130510100,0.001,1,15176350
2020,5,130508803,1,11,15176387
2020,5,130508978,1,1,15179443
2020,5,130510737,3.7,1,15176477
2020,12,130509172,28,1,15179490
2020,12,130509362,1,11,15179505
2020,16,130509362,1,11,15179506
2020,5,130509362,1,11,15179504
2020,8,130511801,7,9,15176621
2020,12,130515827,1,11,15176708
2020,5,130516068,1,1,15179714
2020,17,130512766,,,15179721
2020,5,130514474,1.62,1,15176935
2020,12,130518221,2.002,1,15177004
2020,5,130518386,1,1,15177015
2020,12,130520454,1,9,15177044
2020,5,130520843,1,1,15180061
2020,12,130520932,17,1,15177133
2020,12,130519232,3,9,15180145
2020,1,130519232,1,9,15177180
2020,16,130521325,1,11,15177223
2020,8,130521325,1,11,15177222
2020,5,130521434,,,15177243
2020,12,130521938,220.34,1,15180292
2020,5,130525083,1.1,3,15177327
2020,5,130525165,4.7,1,15180316
2020,17,130525378,,,15177373
2020,5,130503005,2,1,15176090
2020,5,130506630,1,1,15176102
2020,16,130506685,1,9,15179160
2020,5,130503529,,,15176162
2020,5,130507241,18.98,8,15179210
2020,14,130507241,17.86,8,15176179
2020,1,130507241,29.51,8,15179211
2020,2,130503821,1,11,15176195
2020,16,130503821,1,9,15176197
2020,12,130507407,8.002,1,15176202
2020,5,130503887,1,1,15176210
2020,5,130507946,1,4,15179291
2020,5,130508277,,,15179311
2020,5,130509880,6.2,1,15179333
2020,8,130508619,4,9,15179355
2020,17,130510294,,,15176385
2020,5,130510297,3,1,15176386
2020,5,130510662,1,11,15179459
2020,12,130509120,1,9,15179477
2020,5,130511593,1,1,15176595
2020,12,130512297,2,1,15179669
2020,17,130512636,,,15176735
2020,2,130513477,,,15176820
2020,12,130513502,33,1,15176823
2020,12,130514361,0.25,1,15176924
2020,5,130514529,0.01,1,15176950
2020,5,130520924,4,1,15177129
2020,16,130520924,2,9,15180097
2020,12,130520924,1,1,15180096
2020,2,130521033,0.3,1,15177171
2020,12,130519511,0.001,1,15177232
2020,4,130519511,0.001,1,15180192
2020,5,130521990,77.7,1,15177328
2020,5,130522511,9.1,1,15180365
2020,16,130522511,1,1,15180366
2020,12,130522511,8.1,1,15177396
2020,5,130522714,0.002,1,15180408
2020,5,130522745,0.001,1,15180421
2020,2,130522745,0.005,1,15177447
2020,12,130523111,1,11,15182503
2020,16,130502911,2000.001,1,15176071
2020,1,130502911,1000.001,1,15176073
2020,12,130507503,1,11,15179253
2020,12,130504034,1,1,15179261
2020,5,130508311,,,15179320
2020,12,130510986,1,1,15176514
2020,5,130514752,,,15179565
2020,5,130515266,2,1,15176642
2020,5,130515266,2,9,15176641
2020,8,130512776,0.008,9,15176765
2020,4,130512801,0.052,1,15176767
2020,5,130513349,1,11,15176814
2020,8,130517078,16,9,15179823
2020,5,130517078,6.7,1,15176856
2020,8,130517746,4,9,15176938
2020,5,130517746,9,1,15176939
2020,16,130517746,4,9,15179904
2020,5,130517793,1.24,1,15179914
2020,5,130517951,106.5,1,15176980
2020,16,130517951,7,9,15179949
2020,8,130517951,3,1,15176979
2020,2,130520519,0.2,1,15177054
2020,12,130520563,4,9,15180006
2020,17,130520563,4,9,15177059
2020,5,130520739,1,3,15180039
2020,5,130520898,1,1,15180085
2020,12,130521061,1,9,15177184
2020,5,130521890,0.001,1,15177300
2020,12,130506475,1,1,15179108
