"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2020,15305908,3483,1,2020,"I",26-JUN-20,"Y","F","C","2020_01_GA0060000_NIBRS",87736539,0
2020,15306578,3483,2,2020,"I",26-JUN-20,"Y","F","C","2020_02_GA0060000_NIBRS",85464345,0
2020,15306579,3483,3,2020,"I",26-JUN-20,"Y","F","C","2020_03_GA0060000_NIBRS",97869490,0
2020,15306580,3483,4,2020,"I",26-JUN-20,"Y","F","C","2020_04_GA0060000_NIBRS",94491054,0
2020,15449157,3483,5,2020,"I",21-JUL-20,"Y","F","C","2020_05_GA0060000_NIBRS",97869615,0
2020,15667668,3483,6,2020,"I",19-AUG-20,"Y","F","C","2020_06_GA0060000_NIBRS",97873471,0
2020,16079635,3483,7,2020,"I",16-SEP-20,"Y","F","C","2020_07_GA0060000_NIBRS",97873499,0
2020,16514903,3483,8,2020,"I",23-OCT-20,"Y","F","C","2020_08_GA0060000_NIBRS",97869531,0
2020,16513324,3483,9,2020,"I",23-OCT-20,"Y","F","C","2020_09_GA0060000_NIBRS",97873521,0
2020,16808162,3483,10,2020,"I",17-NOV-20,"Y","F","C","2020_10_GA0060000_NIBRS",97873545,0
2020,17090334,3483,11,2020,"I",18-DEC-20,"Y","F","C","2020_11_GA0060000_NIBRS",97873572,0
2020,17898567,3483,12,2020,"I",16-FEB-21,"Y","F","C","2020_12_GA0060000_NIBRS",97869610,0
2020,15449249,3682,1,2020,"I",21-JUL-20,"Y","F","C","2020_01_GA0450000_NIBRS",77381779,0
2020,15306986,3682,2,2020,"I",,"Y","G","C","2020_02_GA0450000_NIBRS",94524481,0
2020,15449248,3682,3,2020,"I",21-JUL-20,"Y","F","C","2020_03_GA0450000_NIBRS",89725586,0
2020,15449251,3682,4,2020,"I",21-JUL-20,"Y","F","C","2020_04_GA0450000_NIBRS",77382307,0
2020,15449250,3682,5,2020,"I",21-JUL-20,"Y","F","C","2020_05_GA0450000_NIBRS",77382209,0
2020,15449252,3682,6,2020,"I",21-JUL-20,"Y","F","C","2020_06_GA0450000_NIBRS",82296193,0
2020,15568246,3682,7,2020,"I",04-AUG-20,"Y","F","C","2020_07_GA0450000_NIBRS",86307064,0
2020,16079653,3682,8,2020,"I",16-SEP-20,"Y","F","C","2020_08_GA0450000_NIBRS",89725483,0
2020,16516800,3682,9,2020,"I",23-OCT-20,"Y","F","C","2020_09_GA0450000_NIBRS",94527274,0
2020,16610886,3682,10,2020,"I",03-NOV-20,"Y","F","C","2020_10_GA0450000_NIBRS",94527200,0
2020,17090360,3682,11,2020,"I",18-DEC-20,"Y","F","C","2020_11_GA0450000_NIBRS",94524549,0
2020,17898589,3682,12,2020,"I",16-FEB-21,"Y","F","C","2020_12_GA0450000_NIBRS",94527149,0
2020,9141376,3608,1,2020,"I",,"Y","G","C","2020_01_GA0310500_NIBRS",97917335,0
2020,9141396,3608,2,2020,"I",,"Y","G","C","2020_02_GA0310500_NIBRS",67118398,0
2020,9141416,3608,3,2020,"U",,"Y","G","C","2020_03_GA0310500_NIBRS",,0
2020,9141436,3608,4,2020,"U",,"Y","G","C","2020_04_GA0310500_NIBRS",,0
2020,9141456,3608,5,2020,"U",,"Y","G","C","2020_05_GA0310500_NIBRS",,0
2020,9141476,3608,6,2020,"I",,"Y","G","C","2020_06_GA0310500_NIBRS",89767776,0
2020,9141496,3608,7,2020,"I",,"Y","G","C","2020_07_GA0310500_NIBRS",89765638,0
2020,9141516,3608,8,2020,"I",,"Y","G","C","2020_08_GA0310500_NIBRS",86312638,0
