"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
34682020,3468,2020,"GA0010000","GA0010000","","N","N",,"I","APPLING","APPLING CO SO BAXLEY","Appling","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","County",13417,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",27,13,40,2,23,25,0,0,01-JAN-18,01-OCT-19,01-OCT-19,01-DEC-19,01-DEC-19,01-DEC-19,"N","APPLING","Non-MSA","Y","Y","Y"
34692020,3469,2020,"GA0010100","GA0010100","","N","N",,"I","BAXLEY","BAXLEY PD","Baxley","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",4655,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",8,0,8,3,1,4,0,0,01-JAN-18,01-DEC-18,01-DEC-18,01-OCT-19,01-OCT-19,01-NOV-19,"N","APPLING","Non-MSA","Y","Y","Y"
34712020,3471,2020,"GA0020000","GA0020000","","N","N",,"I","ATKINSON","ATKINSON CO SO PEARSON","Atkinson","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","County",4746,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",7,6,13,1,7,8,0,0,01-JAN-18,01-OCT-19,01-OCT-19,01-FEB-20,01-FEB-20,01-FEB-20,"N","ATKINSON","Non-MSA","Y","Y","Y"
34752020,3475,2020,"GA0030100","GA0030100","","N","N",,"I","ALMA","ALMA PD","Alma","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",3370,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",12,0,12,3,2,5,0,0,01-JAN-18,01-NOV-18,01-NOV-18,01-MAR-19,01-MAR-19,01-MAR-19,"N","BACON","Non-MSA","Y","Y","Y"
34782020,3478,2020,"GA0050000","GA0050000","","N","N",,"I","BALDWIN","BALDWIN COUNTY SHERIFF OFFICE","Baldwin","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","County",25980,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",14,"8B","Non-MSA counties from 25,000 thru 99,999","8","Non-MSA Counties","N",3,"R","Y",42,21,63,16,39,55,0,0,01-JAN-18,01-OCT-19,01-OCT-19,01-DEC-19,01-DEC-19,01-DEC-19,"N","BALDWIN","Non-MSA","Y","Y","Y"
34792020,3479,2020,"GA0050100","GA0050100","","N","N",,"I","MILLEDGEVILLE","MILLEDGEVILLE PD","Milledgeville","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",18751,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",33,2,35,8,15,23,0,0,01-JAN-18,01-FEB-19,01-FEB-19,01-JUN-19,01-JUN-19,01-FEB-20,"N","BALDWIN","Non-MSA","Y","Y","Y"
34812020,3481,2020,"GA0050300","GA0050300","","N","N",,"I","GA COLLEGE & STATE UNIVE","GEORGIA COLLEGE & STATE UNIV PUB SAF","Georgia College and State University","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","University or College",0,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",13,1,14,0,5,5,0,0,01-JAN-18,01-SEP-19,01-SEP-19,01-APR-20,01-APR-20,01-APR-20,"N","BALDWIN","Non-MSA","Y","Y","Y"
34822020,3482,2020,"GA0050400","GA0050400","","N","N",,"I","GEORGIA MILITARY COLLEGE","GEORGIA MILITARY COLLEGE","Georgia Military College","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","University or College",0,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,1,4,1,1,2,0,0,01-JAN-18,01-FEB-20,01-FEB-20,,,,"N","BALDWIN","Non-MSA","Y","Y","Y"
34832020,3483,2020,"GA0060000","GA0060000","","N","N",,"I","BANKS","BANKS CO SO HOMER","Banks","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","County",16969,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",40,5,45,7,8,15,0,0,01-JAN-18,01-SEP-19,01-SEP-19,01-JUN-20,01-JUN-20,01-JUN-20,"N","BANKS","Non-MSA","Y","Y","Y"
34842020,3484,2020,"GA0070000","GA0070000","","N","N",,"I","BARROW","BARROW CO SO WINDER","Barrow","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","County",54028,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",110,27,137,18,29,47,0,0,01-JAN-18,01-JAN-18,01-JAN-18,01-MAY-20,01-MAY-20,01-MAY-20,"N","BARROW","Atlanta-Sandy Springs-Alpharetta, GA","Y","Y","Y"
