"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2020,4,129811336,1,11,15080378
2020,4,129794906,1,1,15072527
2020,2,129811478,3.75,1,15080406
2020,8,129811499,4,1,15080405
2020,17,129794969,0.176,3,15072554
2020,12,129794969,0.306,3,15080422
2020,4,129811809,0.035,3,15080482
2020,5,129795242,0.141,3,15080483
2020,16,129811864,2,9,15080495
2020,5,129811864,3.37,1,15072614
2020,16,129795292,1,11,15072626
2020,12,129812126,,,15080555
2020,8,129812156,,,15080593
2020,16,129812391,,,15080639
2020,12,129812448,2.9,1,15080649
2020,5,129812667,0.3,1,15080696
2020,5,129812741,32,1,15080711
2020,5,129813047,,,15072758
2020,16,129813149,,,15080810
2020,12,129813646,1,11,15080917
2020,2,129813646,1,11,15072856
2020,5,129796397,1,11,15072886
2020,4,129796397,1,11,15072885
2020,4,129796399,1,11,15072889
2020,5,129796399,0.07,3,15072890
2020,4,129813805,1,11,15080957
2020,8,129813859,3,1,15080983
2020,5,129813859,0.001,1,15080984
2020,2,129813859,0.001,1,15080985
2020,12,129796475,1,9,15081010
2020,12,129796802,1.25,1,15072977
2020,3,129796802,30.75,1,15072978
2020,5,129796802,19.46,1,15072976
2020,5,129797020,0.352,3,15081135
2020,5,129797028,0.119,3,15073037
2020,5,129797048,1248.32,1,15081142
2020,12,129797087,0.1,1,15073061
2020,5,129797118,0.176,3,15073082
2020,8,129814821,6,9,15081199
2020,5,129814821,18.671,1,15081198
2020,12,129797219,0.398,3,15073106
2020,4,129814991,0.317,3,15081257
2020,5,129815044,0.289,3,15081278
2020,17,129811361,1,11,15072528
2020,5,130645579,,,15203400
2020,5,130643449,,,15198318
2020,12,130643441,6,1,15203401
2020,4,129811384,1,11,15080386
2020,12,129811924,1.7,1,15080518
2020,5,129811954,,,15080520
2020,11,129812043,0.105,3,15080552
2020,12,129812043,0.345,3,15080553
2020,5,129812043,0.317,3,15080546
2020,5,129812347,,,15080634
2020,12,129812691,,,15072713
2020,17,129812560,,,15080667
2020,5,130650454,1,1,15198710
2020,12,130648866,0.511,3,15204087
2020,17,130651167,,,15203936
