"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2020,144049818,9,
2020,144049932,1,
2020,144053926,1,
2020,144050376,1,
2020,144050718,6,
2020,144058837,9,
2020,144059061,6,
2020,144059439,1,
2020,144062139,1,
2020,144065241,9,
2020,144067940,9,
2020,144062436,10,
2020,144065248,6,
2020,144065942,10,
2020,144066247,1,
2020,144069243,1,
2020,144067178,10,
2020,144070803,2,
2020,144072889,1,
2020,144078169,8,
2020,144078420,1,
2020,144074967,1,
2020,144074986,1,
2020,144078566,10,
2020,144079412,10,
2020,144079597,1,
2020,144079652,10,
2020,144080060,6,
2020,144076637,9,
2020,144076720,10,
2020,144081049,10,
2020,144081434,10,
2020,144077409,1,
2020,144077628,1,
2020,144077808,6,
2020,141316425,1,
2020,141324108,8,
2020,141328529,9,
2020,141324334,9,
2020,141328536,9,
2020,141325903,9,
2020,141325992,10,
2020,141330134,9,
2020,141330136,9,
2020,141326333,10,
2020,145500788,9,
2020,145502285,10,
2020,145502288,10,
2020,145502289,10,
2020,145502287,10,
2020,145504568,1,
2020,145506013,1,
2020,145506506,2,
2020,145506975,1,
2020,145513005,1,
2020,145497589,1,
2020,145500737,1,
2020,145500742,1,
2020,145497697,2,
2020,145497697,1,
2020,145510506,2,
2020,145510057,10,
2020,145506893,1,
2020,145506887,1,
2020,145511105,1,
2020,145512825,6,
2020,145512881,1,
2020,145512886,9,
2020,145512885,9,
2020,145512892,9,
2020,145512893,1,
2020,145514903,10,
2020,145514902,10,
2020,145514901,10,
2020,145518006,10,
2020,145518750,6,
2020,145518981,1,
2020,145519464,1,
2020,145519844,9,
2020,145517880,10,
2020,145522805,1,
2020,145508378,6,
2020,145506026,1,
2020,145501388,1,
2020,145502713,1,
2020,145506505,2,
2020,145506668,9,
2020,145510004,2,
2020,145507198,9,
2020,145507318,9,
2020,145507437,1,
2020,145507599,1,
2020,145507657,1,
2020,145510870,9,
2020,145510868,9,
2020,145510960,1,
2020,145511125,6,
2020,145512054,1,
2020,145512234,10,
2020,145512403,6,
2020,145512424,1,
2020,145512425,1,
2020,145512446,9,
2020,145512495,9,
2020,145512559,11,5
2020,145512674,10,
2020,145512673,10,
2020,145512675,10,
2020,145514582,9,
2020,145512679,9,
2020,145514583,9,
2020,145512896,9,
2020,145521853,6,
2020,145528607,10,
2020,145528773,6,
2020,145529155,10,
2020,141325615,6,
2020,141330057,10,
2020,141325943,10,
2020,141325944,10,
2020,141325946,10,
2020,141325942,10,
2020,141326049,9,
2020,141326081,1,
2020,141326137,6,
2020,141330756,9,
2020,149014033,2,
2020,149014035,2,
2020,149014032,2,
2020,149014034,2,
2020,149011061,2,
2020,149011059,2,
2020,145497287,1,
2020,145497265,1,
2020,145497771,1,
2020,145501301,8,
2020,145501293,8,
2020,145501622,1,
2020,145501620,1,
2020,145503723,6,
2020,145509276,1,
