"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2020,10243804,5698,1,2020,"I",,"Y","G","C","2020_01_IN0060100_NIBRS",87888293,0
2020,10243863,5698,2,2020,"I",,"Y","G","C","2020_02_IN0060100_NIBRS",91872479,0
2020,10243922,5698,3,2020,"I",,"Y","G","C","2020_03_IN0060100_NIBRS",78683060,0
2020,10243981,5698,4,2020,"I",,"Y","G","C","2020_04_IN0060100_NIBRS",78683074,0
2020,10244040,5698,5,2020,"I",,"Y","G","C","2020_05_IN0060100_NIBRS",90546504,0
2020,10244099,5698,6,2020,"I",,"Y","G","C","2020_06_IN0060100_NIBRS",95275101,0
2020,10244158,5698,7,2020,"I",,"Y","G","C","2020_07_IN0060100_NIBRS",87885812,0
2020,10244217,5698,8,2020,"I",,"Y","G","C","2020_08_IN0060100_NIBRS",91870886,0
2020,10244276,5698,9,2020,"I",,"Y","G","C","2020_09_IN0060100_NIBRS",95275118,0
2020,10244335,5698,10,2020,"I",,"Y","G","C","2020_10_IN0060100_NIBRS",95275169,0
2020,10244394,5698,11,2020,"I",,"Y","G","C","2020_11_IN0060100_NIBRS",95275192,0
2020,10244453,5698,12,2020,"I",,"Y","G","C","2020_12_IN0060100_NIBRS",95275214,0
2020,17300881,5690,9,2020,"I",15-JAN-21,"Y","F","C","2020_09_IN0020200_NIBRS",91870814,0
2020,17300883,5690,10,2020,"I",15-JAN-21,"Y","F","C","2020_10_IN0020200_NIBRS",91872449,0
2020,17300885,5690,11,2020,"I",15-JAN-21,"Y","F","C","2020_11_IN0020200_NIBRS",95270456,0
2020,17300889,5690,12,2020,"I",15-JAN-21,"Y","F","C","2020_12_IN0020200_NIBRS",95275031,0
2020,11668639,5803,1,2020,"I",09-MAR-20,"Y","F","C","2020_01_IN0420200_NIBRS",95289379,0
2020,13443474,5803,2,2020,"I",30-MAR-20,"Y","F","C","2020_02_IN0420200_NIBRS",80448332,0
2020,13856754,5803,3,2020,"I",15-MAY-20,"Y","F","C","2020_03_IN0420200_NIBRS",78692482,0
2020,13856755,5803,4,2020,"I",15-MAY-20,"Y","F","C","2020_04_IN0420200_NIBRS",87898954,0
2020,14075474,5803,5,2020,"I",19-JUN-20,"Y","F","C","2020_05_IN0420200_NIBRS",80443630,0
2020,15557079,5803,6,2020,"I",03-AUG-20,"Y","F","C","2020_06_IN0420200_NIBRS",95289186,0
2020,15738888,5803,7,2020,"I",21-AUG-20,"Y","F","C","2020_07_IN0420200_NIBRS",87902872,0
2020,16125105,5803,8,2020,"I",18-SEP-20,"Y","F","C","2020_08_IN0420200_NIBRS",90560490,0
2020,16398545,5803,9,2020,"I",16-OCT-20,"Y","F","C","2020_09_IN0420200_NIBRS",95293108,0
2020,16816521,5803,10,2020,"I",18-NOV-20,"Y","F","C","2020_10_IN0420200_NIBRS",91882963,0
2020,17166625,5803,11,2020,"I",28-DEC-20,"Y","F","C","2020_11_IN0420200_NIBRS",91881447,0
2020,17306322,5803,12,2020,"I",15-JAN-21,"Y","F","C","2020_12_IN0420200_NIBRS",95293196,0
2020,15716026,5781,1,2020,"I",21-AUG-20,"Y","F","C","2020_01_IN0350100_NIBRS",97008903,0
2020,15716027,5781,2,2020,"I",21-AUG-20,"Y","F","C","2020_02_IN0350100_NIBRS",80442546,0
2020,15716028,5781,3,2020,"I",21-AUG-20,"Y","F","C","2020_03_IN0350100_NIBRS",97008952,0
2020,16125103,5781,4,2020,"I",18-SEP-20,"Y","F","C","2020_04_IN0350100_NIBRS",95287964,0
