"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
56882020,5688,2020,"IN0020000","IN0020000","","Y","N",,"I","ALLEN","ALLEN CO SO FT WAYNE","Allen","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","County",93314,24175,"IN0020000","Allen","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","N",,,,,,,0,0,01-JAN-13,01-SEP-20,01-SEP-20,01-JAN-21,01-JAN-21,01-JAN-21,"N","ALLEN","Fort Wayne, IN","Y","Y","Y"
56892020,5689,2020,"IN0020100","IN0020100","","Y","N",,"I","FORT WAYNE","FT WAYNE PD","Fort Wayne","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",272270,24176,"IN0020100","Fort Wayne","N",5,"1C","Cities from 250,000 thru 499,999","1","All cities 250,000 or over","Y",1,"R","Y",418,14,432,56,50,106,0,0,01-JAN-13,01-SEP-20,01-SEP-20,01-JAN-21,01-JAN-21,01-JAN-21,"N","ALLEN","Fort Wayne, IN","Y","Y","Y"
56902020,5690,2020,"IN0020200","IN0020200","","Y","N",,"I","NEW HAVEN","NEW HAVEN PD","New Haven","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",16044,24177,"IN0020200","New Haven","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",22,2,24,1,6,7,0,0,01-JAN-13,01-SEP-20,01-SEP-20,01-JAN-21,01-JAN-21,01-JAN-21,"N","ALLEN","Fort Wayne, IN","Y","Y","Y"
56912020,5691,2020,"IN0030000","IN0030000","","Y","N",,"I","BARTHOLOMEW","BARTHOLOMEW CO SO COLUMBUS","Bartholomew","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","County",35620,24178,"IN0030000","Bartholomew","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",42,39,81,2,23,25,0,0,01-JAN-13,01-NOV-20,01-NOV-20,01-JAN-21,01-JAN-21,01-JAN-21,"N","BARTHOLOMEW","Columbus, IN","Y","Y","Y"
56922020,5692,2020,"IN0030100","IN0030100","","Y","N",,"I","COLUMBUS","COLUMBUS PD","Columbus","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",48505,24179,"IN0030100","Columbus","N",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",20,0,20,1,1,2,0,0,01-JAN-13,01-OCT-20,01-OCT-20,01-FEB-21,01-FEB-21,01-FEB-21,"N","BARTHOLOMEW","Columbus, IN","Y","Y","Y"
56952020,5695,2020,"IN0050000","IN0050000","","N","N",,"I","BLACKFORD","BLACKFORD CO SO HARTFORD CITY","Blackford","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","County",5903,27128,"INUCR0001","Indiana State Police","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","N",,,,,,,0,0,01-JAN-13,01-JAN-19,01-JAN-19,01-MAR-20,01-MAR-20,01-MAR-20,"N","BLACKFORD","Non-MSA","Y","Y","Y"
56972020,5697,2020,"IN0060000","IN0060000","","N","N",,"I","BOONE","BOONE CO SO LEBANON","Boone","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","County",13943,27128,"INUCR0001","Indiana State Police","Y",21,"9C","MSA counties from 10,000 thru 24,999","9","MSA Counties","N",3,"R","N",,,,,,,0,0,01-JAN-13,01-NOV-18,01-NOV-18,01-NOV-19,,01-NOV-19,"N","BOONE","Indianapolis-Carmel-Anderson, IN","Y","Y","Y"
56982020,5698,2020,"IN0060100","IN0060100","","N","N",,"I","LEBANON","LEBANON PD","Lebanon","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",16097,27128,"INUCR0001","Indiana State Police","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",39,0,39,1,2,3,0,0,01-JAN-13,01-JUN-19,01-JUN-19,01-SEP-19,,01-SEP-19,"N","BOONE","Indianapolis-Carmel-Anderson, IN","Y","Y","Y"
56992020,5699,2020,"IN0060300","IN0060300","","N","N",,"I","ZIONSVILLE","ZIONSVILLE PD","Zionsville","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",28824,27128,"INUCR0001","Indiana State Police","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",32,0,32,3,2,5,0,0,01-JAN-13,01-SEP-17,01-SEP-17,01-JUN-18,01-OCT-20,01-JUN-18,"N","BOONE","Indianapolis-Carmel-Anderson, IN","Y","Y","Y"
57002020,5700,2020,"IN0060500","IN0060500","","N","N",,"I","WHITESTOWN","TOWN MARSHAL WHITESTOWN","Whitestown","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",10251,27128,"INUCR0001","Indiana State Police","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","N",,,,,,,0,0,01-JAN-13,01-JUL-17,01-JUL-17,01-NOV-17,,01-NOV-17,"N","BOONE","Indianapolis-Carmel-Anderson, IN","Y","Y","Y"
57052020,5705,2020,"IN0090100","IN0090100","","N","N",,"I","LOGANSPORT","LOGANSPORT PD","Logansport","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",17509,27128,"INUCR0001","Indiana State Police","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","N",,,,,,,0,0,01-JAN-13,01-APR-19,01-APR-19,01-JUL-19,01-JUL-19,01-JUL-19,"N","CASS","Non-MSA","Y","Y","Y"
57062020,5706,2020,"IN0100000","IN0100000","","N","N",,"I","CLARK","CLARK CO SO JEFFERSONVILLE","Clark","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","County",31624,27128,"INUCR0001","Indiana State Police","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","N",,,,,,,0,0,01-JAN-13,01-JAN-18,01-JAN-18,01-NOV-20,01-NOV-20,01-NOV-20,"N","CLARK","Louisville/Jefferson County, KY-IN","Y","Y","Y"
57072020,5707,2020,"IN0100100","IN0100100","","N","N",,"I","CHARLESTOWN","CHARLESTOWN PD","Charlestown","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",8461,27128,"INUCR0001","Indiana State Police","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","N",,,,,,,0,0,01-JAN-13,01-JAN-20,01-JAN-20,01-NOV-20,01-NOV-20,01-NOV-20,"N","CLARK","Louisville/Jefferson County, KY-IN","Y","Y","Y"
57082020,5708,2020,"IN0100200","IN0100200","","N","N",,"I","CLARKSVILLE","CLARKSVILLE PD","Clarksville","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",21558,27128,"INUCR0001","Indiana State Police","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","N",,,,,,,0,0,01-JAN-13,01-JAN-20,01-JAN-20,01-FEB-21,01-FEB-21,01-FEB-21,"N","CLARK","Louisville/Jefferson County, KY-IN","Y","Y","Y"
57092020,5709,2020,"IN0100300","IN0100300","","N","N",,"I","JEFFERSONVILLE","JEFFERSONVILLE PD","Jeffersonville","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",48467,27128,"INUCR0001","Indiana State Police","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","N",,,,,,,0,0,01-JAN-13,01-MAY-18,01-MAY-18,01-FEB-21,01-FEB-21,01-FEB-21,"N","CLARK","Louisville/Jefferson County, KY-IN","Y","Y","Y"
57102020,5710,2020,"IN0100400","IN0100400","","N","N",,"I","SELLERSBURG","SELLERSBURG PD","Sellersburg","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",8972,27128,"INUCR0001","Indiana State Police","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","N",,,,,,,0,0,01-JAN-13,01-JAN-20,01-JAN-20,01-DEC-20,01-DEC-20,01-DEC-20,"N","CLARK","Louisville/Jefferson County, KY-IN","Y","Y","Y"
