index,submission_date,new_case,new_death
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,2.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,1.0,0.0
41,2020-03-03,2.0,0.0
42,2020-03-04,2.0,0.0
43,2020-03-06,6.0,0.0
44,2020-03-07,3.0,0.0
45,2020-03-08,6.0,0.0
46,2020-03-09,9.0,0.0
47,2020-03-10,13.0,0.0
48,2020-03-11,16.0,0.0
49,2020-03-12,33.0,1.0
50,2020-03-13,27.0,0.0
51,2020-03-14,24.0,0.0
52,2020-03-15,52.0,0.0
53,2020-03-16,49.0,0.0
54,2020-03-17,43.0,0.0
55,2020-03-18,95.0,5.0
56,2020-03-19,115.0,7.0
57,2020-03-20,122.0,1.0
58,2020-03-21,86.0,6.0
59,2020-03-22,155.0,5.0
60,2020-03-23,221.0,6.0
61,2020-03-24,182.0,7.0
62,2020-03-25,281.0,9.0
63,2020-03-26,303.0,13.0
64,2020-03-27,524.0,5.0
65,2020-03-28,225.0,14.0
66,2020-03-29,243.0,5.0
67,2020-03-30,389.0,19.0
68,2020-03-31,1012.0,27.0
69,2020-04-01,570.0,24.0
70,2020-04-02,637.0,22.0
71,2020-04-03,488.0,22.0
72,2020-04-04,422.0,10.0
73,2020-04-05,296.0,11.0
74,2020-04-06,739.0,100.0
75,2020-04-07,1562.0,32.0
76,2020-04-08,1130.0,20.0
77,2020-04-09,613.0,42.0
78,2020-04-10,934.0,7.0
79,2020-04-11,419.0,12.0
80,2020-04-12,157.0,15.0
81,2020-04-13,1086.0,34.0
82,2020-04-14,844.0,45.0
83,2020-04-15,686.0,53.0
84,2020-04-16,989.0,45.0
85,2020-04-17,908.0,37.0
86,2020-04-18,352.0,9.0
87,2020-04-19,505.0,21.0
88,2020-04-20,843.0,91.0
89,2020-04-21,612.0,39.0
90,2020-04-22,897.0,17.0
91,2020-04-23,931.0,35.0
92,2020-04-24,681.0,26.0
93,2020-04-26,271.0,15.0
94,2020-04-27,774.0,32.0
95,2020-04-28,582.0,81.0
96,2020-04-29,854.0,29.0
97,2020-04-30,537.0,57.0
98,2020-05-01,935.0,56.0
99,2020-05-02,381.0,7.0
100,2020-05-03,284.0,4.0
101,2020-05-04,753.0,33.0
102,2020-05-05,602.0,47.0
103,2020-05-06,802.0,69.0
104,2020-05-07,821.0,9.0
105,2020-05-08,544.0,26.0
106,2020-05-09,307.0,42.0
107,2020-05-10,876.0,0.0
108,2020-05-11,459.0,38.0
109,2020-05-12,768.0,22.0
110,2020-05-13,558.0,41.0
111,2020-05-14,326.0,22.0
112,2020-05-15,613.0,30.0
113,2020-05-16,562.0,35.0
114,2020-05-17,623.0,14.0
115,2020-05-18,662.0,36.0
116,2020-05-19,772.0,26.0
117,2020-05-20,780.0,21.0
118,2020-05-21,687.0,69.0
119,2020-05-22,1031.0,50.0
120,2020-05-23,979.0,6.0
121,2020-05-24,724.0,13.0
122,2020-05-25,532.0,3.0
123,2020-05-26,350.0,44.0
124,2020-05-27,709.0,35.0
125,2020-05-28,838.0,64.0
126,2020-05-30,738.0,32.0
127,2020-05-31,729.0,49.0
128,2020-06-01,889.0,22.0
129,2020-06-02,578.0,28.0
130,2020-06-03,723.0,21.0
131,2020-06-04,942.0,24.0
132,2020-06-05,799.0,27.0
133,2020-06-07,524.0,20.0
134,2020-06-08,648.0,28.0
135,2020-06-09,808.0,77.0
136,2020-06-10,804.0,44.0
