Date,Daily Administered
2020-12-14,0.0
2020-12-15,0.0
2020-12-16,0.0
2020-12-17,0.0
2020-12-18,198.0
2020-12-19,911.0
2020-12-20,0.0
2020-12-21,0.0
2020-12-22,10714.0
2020-12-23,4710.0
2020-12-24,7640.0
2020-12-25,0.0
2020-12-26,0.0
2020-12-27,0.0
2020-12-28,0.0
2020-12-29,19442.0
2020-12-30,8480.0
2020-12-31,23062.0
2021-01-01,0.0
2021-01-02,0.0
2021-01-03,0.0
2021-01-04,0.0
2021-01-05,5302.0
2021-01-06,9236.0
2021-01-07,14098.0
2021-01-08,15325.0
2021-01-09,23791.0
2021-01-10,0.0
2021-01-11,0.0
2021-01-12,27662.0
2021-01-13,28185.0
2021-01-14,32549.0
2021-01-15,0.0
2021-01-16,39794.0
2021-01-17,41234.0
2021-01-18,0.0
2021-01-19,43697.0
2021-01-20,41018.0
2021-01-21,56814.0
2021-01-23,581.0
2021-01-24,0.0
2021-01-25,0.0
2021-01-26,64522.0
2021-01-27,44277.0
2021-01-28,51345.0
2021-01-29,46080.0
2021-01-30,46455.0
2021-01-31,49440.0
2021-02-01,24331.0
2021-02-02,9549.0
2021-02-03,34972.0
2021-02-04,33002.0
2021-02-05,43582.0
2021-02-06,47241.0
2021-02-07,47161.0
2021-02-08,21714.0
2021-02-09,12212.0
2021-02-10,43900.0
2021-02-11,49165.0
2021-02-12,0.0
2021-02-13,55780.0
2021-02-14,108923.0
2021-02-15,21414.0
2021-02-16,14308.0
2021-02-17,0.0
2021-02-18,95776.0
2021-02-20,65966.0
2021-02-21,64101.0
2021-02-22,22827.0
2021-02-23,6746.0
2021-02-24,38833.0
2021-02-25,42587.0
2021-02-26,51920.0
2021-02-27,56307.0
2021-02-28,2375.0
2021-03-01,177.0
2021-03-02,12419.0
2021-03-03,48470.0
2021-03-04,53772.0
2021-03-05,65722.0
2021-03-06,55076.0
2021-03-07,58486.0
2021-03-08,25426.0
2021-03-09,14207.0
2021-03-10,2792.0
2021-03-11,74902.0
2021-03-12,114532.0
2021-03-13,82941.0
2021-03-14,72974.0
2021-03-15,35737.0
2021-03-16,20188.0
2021-03-17,3886.0
2021-03-18,92405.0
2021-03-19,4272.0
2021-03-21,94553.0
2021-03-22,73065.0
2021-03-23,150.0
2021-03-24,81411.0
2021-03-25,72347.0
2021-03-26,96120.0
2021-03-27,90216.0
2021-03-28,90754.0
2021-03-29,52394.0
2021-03-30,21959.0
2021-03-31,69556.0
2021-04-01,94786.0
2021-04-02,104870.0
2021-04-03,95255.0
2021-04-04,2736.0
2021-04-05,83358.0
2021-04-06,44573.0
2021-04-08,78384.0
2021-04-10,4678.0
2021-04-11,2758.0
2021-04-12,692.0
2021-04-15,95998.0
2021-04-16,104739.0
2021-04-17,104655.0
2021-04-18,95355.0
2021-04-19,80725.0
2021-04-20,40543.0
2021-04-21,71627.0
2021-04-22,84998.0
2021-04-23,88785.0
2021-04-24,93107.0
2021-04-25,2219.0
2021-04-26,87231.0
2021-04-27,49105.0
2021-04-28,74422.0
2021-04-29,82979.0
2021-04-30,88081.0
2021-05-01,80863.0
2021-05-02,73302.0
2021-05-03,1478.0
2021-05-04,42175.0
2021-05-05,46812.0
2021-05-06,1952.0
2021-05-08,59893.0
2021-05-09,58601.0
2021-05-10,38567.0
2021-05-11,28993.0
2021-05-12,42878.0
2021-05-13,50885.0
2021-05-14,43831.0
2021-05-15,49024.0
2021-05-16,1490.0
2021-05-17,65482.0
2021-05-18,216.0
2021-05-19,2009.0
2021-05-20,89652.0
2021-05-21,43842.0
2021-05-22,50463.0
2021-05-23,34122.0
2021-05-24,277.0
2021-05-25,0.0
2021-05-26,35444.0
2021-05-27,33609.0
2021-05-28,1434.0
2021-05-29,1937.0
2021-05-30,840.0
2021-06-01,48933.0
2021-06-02,4.0
2021-06-03,1991.0
2021-06-05,1389.0
2021-06-06,74421.0
2021-06-07,718.0
2021-06-08,71748.0
2021-06-09,1968.0
2021-06-10,1151.0
2021-06-11,0.0
2021-06-12,1009.0
2021-06-13,1268.0
2021-06-14,1371.0
2021-06-15,370.0
2021-06-16,172.0
2021-06-18,884.0
2021-06-19,957.0
2021-06-20,1031.0
2021-06-21,64.0
2021-06-23,414.0
2021-06-24,1221.0
2021-06-25,450.0
2021-06-26,552.0
2021-06-27,152.0
2021-06-28,564.0
2021-06-30,16637.0
2021-07-01,22881.0
2021-07-02,924.0
2021-07-03,38022.0
2021-07-04,152.0
2021-07-05,33214.0
2021-07-06,3.0
