submission_date,new_case,new_death
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,1.0,0.0
2020-03-07,0.0,0.0
2020-03-08,1.0,0.0
2020-03-09,1.0,0.0
2020-03-10,2.0,0.0
2020-03-11,4.0,0.0
2020-03-12,3.0,0.0
2020-03-13,0.0,0.0
2020-03-14,0.0,0.0
2020-03-15,7.0,0.0
2020-03-16,5.0,0.0
2020-03-17,6.0,0.0
2020-03-18,9.0,0.0
2020-03-19,17.0,0.0
2020-03-20,23.0,0.0
2020-03-21,47.0,0.0
2020-03-22,75.0,0.0
2020-03-23,58.0,0.0
2020-03-24,106.0,0.0
2020-03-25,112.0,0.0
2020-03-26,168.0,0.0
2020-03-27,336.0,0.0
2020-03-28,251.0,31.0
2020-03-29,282.0,1.0
2020-03-30,272.0,3.0
2020-03-31,373.0,15.0
2020-04-01,406.0,16.0
2020-04-02,474.0,12.0
2020-04-03,418.0,24.0
