Date,Daily Administered
2020-12-14,0.0
2020-12-15,0.0
2020-12-16,0.0
2020-12-17,686.0
2020-12-18,2092.0
2020-12-19,2114.0
2020-12-20,8106.0
2020-12-21,0.0
2020-12-22,2252.0
2020-12-23,18385.0
2020-12-24,0.0
2020-12-25,0.0
2020-12-26,0.0
2020-12-27,0.0
2020-12-28,16793.0
2020-12-29,12419.0
2020-12-30,0.0
2020-12-31,11504.0
2021-01-01,11400.0
2021-01-02,0.0
2021-01-03,5416.0
2021-01-04,8737.0
2021-01-05,11319.0
2021-01-06,11892.0
2021-01-07,14097.0
2021-01-08,12975.0
2021-01-09,0.0
2021-01-10,19334.0
2021-01-11,20758.0
2021-01-12,0.0
2021-01-13,41644.0
2021-01-14,26534.0
2021-01-15,22935.0
2021-01-16,0.0
2021-01-17,0.0
2021-01-18,0.0
2021-01-19,50718.0
2021-01-20,24275.0
2021-01-21,30752.0
2021-01-22,26990.0
2021-01-23,31902.0
2021-01-24,0.0
2021-01-25,45827.0
2021-01-26,6968.0
2021-01-27,25356.0
2021-01-28,27964.0
2021-01-29,29178.0
2021-01-30,25863.0
2021-01-31,0.0
2021-02-01,0.0
2021-02-02,5104.0
2021-02-03,25456.0
2021-02-04,33446.0
2021-02-05,39697.0
2021-02-06,38883.0
2021-02-07,0.0
2021-02-08,0.0
2021-02-09,11299.0
2021-02-10,34632.0
2021-02-11,36329.0
2021-02-12,41537.0
2021-02-14,40091.0
2021-02-15,22609.0
2021-02-16,10279.0
2021-02-17,21651.0
2021-02-18,12563.0
2021-02-20,40322.0
2021-02-21,35423.0
2021-02-22,22501.0
2021-02-23,6537.0
2021-02-26,45744.0
2021-02-27,46905.0
2021-02-28,38399.0
2021-03-01,24805.0
2021-03-02,9428.0
2021-03-03,33087.0
2021-03-04,39872.0
2021-03-05,51087.0
2021-03-06,52179.0
2021-03-07,43867.0
2021-03-08,34980.0
2021-03-09,13196.0
2021-03-10,41567.0
2021-03-11,44663.0
2021-03-12,51231.0
2021-03-14,75.0
2021-03-15,33083.0
2021-03-16,10332.0
2021-03-17,36344.0
2021-03-18,45455.0
2021-03-19,51989.0
2021-03-20,56510.0
2021-03-21,45924.0
2021-03-22,30653.0
2021-03-23,9817.0
2021-03-24,41553.0
2021-03-25,51818.0
2021-03-27,56471.0
2021-03-28,45260.0
2021-03-29,34421.0
2021-03-30,9350.0
2021-03-31,43003.0
2021-04-01,53345.0
2021-04-04,44386.0
2021-04-05,31782.0
2021-04-06,8538.0
2021-04-07,42782.0
2021-04-12,50258.0
2021-04-13,19105.0
2021-04-14,11744.0
2021-04-18,50980.0
2021-04-19,28195.0
2021-04-20,13074.0
2021-04-21,37291.0
2021-04-22,47389.0
2021-04-23,52137.0
2021-04-24,50522.0
2021-04-25,41932.0
2021-04-26,29571.0
2021-04-27,16704.0
2021-04-28,39199.0
2021-04-29,47880.0
2021-04-30,55419.0
2021-05-01,56977.0
2021-05-02,46223.0
2021-05-03,19588.0
2021-05-04,10208.0
2021-05-05,33869.0
2021-05-06,48987.0
2021-05-08,42538.0
2021-05-09,42467.0
2021-05-10,28935.0
2021-05-11,18260.0
2021-05-12,30030.0
2021-05-13,38556.0
2021-05-14,38933.0
2021-05-15,42465.0
2021-05-16,38326.0
2021-05-17,24530.0
2021-05-18,12302.0
2021-05-19,28613.0
2021-05-20,37390.0
2021-05-21,39565.0
2021-05-22,40370.0
2021-05-23,30675.0
2021-05-24,16346.0
2021-05-25,5506.0
2021-05-26,24657.0
2021-05-27,27350.0
2021-05-28,27405.0
2021-05-29,24467.0
2021-05-30,22373.0
2021-05-31,9490.0
2021-06-01,4560.0
2021-06-02,3082.0
2021-06-03,20821.0
2021-06-04,18226.0
2021-06-05,22960.0
2021-06-06,21988.0
2021-06-07,15111.0
2021-06-08,7241.0
2021-06-09,18024.0
2021-06-10,131.0
2021-06-11,25612.0
2021-06-12,28001.0
2021-06-13,17134.0
2021-06-14,54295.0
2021-06-15,13252.0
2021-06-16,62.0
2021-06-17,44778.0
2021-06-18,16230.0
2021-06-19,16623.0
2021-06-20,12702.0
2021-06-21,12554.0
2021-06-22,4595.0
2021-06-23,9290.0
2021-06-24,13472.0
2021-06-25,13679.0
2021-06-26,13455.0
2021-06-27,16410.0
2021-06-28,15799.0
2021-06-29,3861.0
2021-06-30,10861.0
2021-07-01,12815.0
2021-07-02,12706.0
2021-07-04,8993.0
2021-07-05,5563.0
2021-07-06,2566.0
2021-07-07,2674.0
2021-07-08,11364.0
